<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
ROSN,D,20130108,000000,271.5100000,274.7500000,266.4200000,268.9800000
ROSN,D,20130109,000000,267.9900000,270.0700000,265.4000000,268.9900000
ROSN,D,20130110,000000,269.5000000,269.5000000,266.6500000,266.6500000
ROSN,D,20130111,000000,266.4700000,266.8200000,264.3200000,265.2800000
ROSN,D,20130114,000000,265.6100000,268.6000000,265.5900000,267.0000000
ROSN,D,20130115,000000,266.3200000,266.3200000,263.6400000,264.1000000
ROSN,D,20130116,000000,264.4800000,264.8800000,260.7000000,261.5600000
ROSN,D,20130117,000000,261.5600000,261.7900000,257.5700000,258.7500000
ROSN,D,20130118,000000,259.3300000,262.9000000,258.2900000,262.4400000
ROSN,D,20130121,000000,262.6200000,263.5000000,260.5400000,262.6700000
ROSN,D,20130122,000000,262.8500000,265.4000000,260.1200000,264.9100000
ROSN,D,20130123,000000,265.2000000,265.9000000,263.7000000,265.2100000
ROSN,D,20130124,000000,264.5100000,268.7800000,262.0100000,268.4900000
ROSN,D,20130125,000000,268.3000000,273.4600000,267.0700000,272.6200000
ROSN,D,20130128,000000,272.8900000,275.5000000,270.6700000,275.4300000
ROSN,D,20130129,000000,274.1600000,275.5000000,270.3000000,270.8900000
ROSN,D,20130130,000000,272.2000000,272.5000000,266.1100000,267.2900000
ROSN,D,20130131,000000,264.9600000,267.6000000,264.1000000,267.1500000
ROSN,D,20130201,000000,267.1500000,267.2400000,259.3800000,262.0100000
ROSN,D,20130204,000000,262.8000000,263.7000000,257.7000000,258.0900000
ROSN,D,20130205,000000,257.3300000,259.8000000,255.8000000,258.4900000
ROSN,D,20130206,000000,259.7000000,261.7800000,255.3100000,256.5100000
ROSN,D,20130207,000000,256.1400000,257.7200000,255.0000000,255.8200000
ROSN,D,20130208,000000,255.8400000,256.4800000,253.2100000,255.6100000
ROSN,D,20130211,000000,256.0000000,259.7000000,255.9000000,257.0500000
ROSN,D,20130212,000000,257.3900000,258.2800000,253.5800000,253.8200000
ROSN,D,20130213,000000,255.0000000,265.5800000,253.6700000,263.8900000
ROSN,D,20130214,000000,263.9000000,265.0000000,258.0200000,258.9800000
ROSN,D,20130215,000000,258.6300000,258.6300000,254.7500000,255.0700000
ROSN,D,20130218,000000,255.0000000,255.9700000,252.1500000,253.5000000
ROSN,D,20130219,000000,253.9000000,257.4700000,253.5800000,255.5000000
ROSN,D,20130220,000000,256.1400000,256.4600000,251.4900000,251.8900000
ROSN,D,20130221,000000,249.8400000,251.8800000,248.0000000,251.0500000
ROSN,D,20130222,000000,251.7000000,253.4400000,249.0200000,252.0600000
ROSN,D,20130225,000000,252.7000000,253.2400000,250.5500000,251.0500000
ROSN,D,20130226,000000,249.5100000,250.2600000,248.1100000,248.2600000
ROSN,D,20130227,000000,249.5800000,250.9200000,246.5500000,247.5200000
ROSN,D,20130228,000000,249.8900000,249.8900000,243.8300000,244.0100000
ROSN,D,20130301,000000,243.2700000,243.9100000,240.3300000,241.8800000
ROSN,D,20130304,000000,241.4000000,242.4100000,239.6500000,241.5500000
ROSN,D,20130305,000000,242.1000000,245.5000000,241.5400000,244.8600000
ROSN,D,20130306,000000,245.9500000,249.6000000,245.0600000,247.6100000
ROSN,D,20130307,000000,247.8800000,250.9000000,247.4400000,248.3100000
ROSN,D,20130311,000000,249.0200000,251.1600000,248.3300000,248.3400000
ROSN,D,20130312,000000,248.7000000,248.9800000,245.5500000,248.4600000
ROSN,D,20130313,000000,247.6700000,248.0800000,246.0100000,246.6300000
ROSN,D,20130314,000000,246.5000000,246.5900000,244.1300000,244.3200000
ROSN,D,20130315,000000,245.5900000,247.9000000,241.6300000,242.5400000
ROSN,D,20130318,000000,239.7900000,239.7900000,236.3000000,238.5800000
ROSN,D,20130319,000000,239.1000000,239.1800000,235.3700000,236.4000000
ROSN,D,20130320,000000,236.9000000,237.8800000,234.5200000,237.8500000
ROSN,D,20130321,000000,238.0100000,242.6400000,236.3500000,242.2400000
ROSN,D,20130322,000000,241.9500000,242.1100000,237.5000000,237.5900000
ROSN,D,20130325,000000,239.5100000,244.4300000,239.5100000,241.5900000
ROSN,D,20130326,000000,241.6000000,242.9600000,236.8000000,237.7600000
ROSN,D,20130327,000000,239.1600000,240.8000000,235.6200000,238.6100000
ROSN,D,20130328,000000,237.8600000,238.5400000,235.2900000,237.1500000
ROSN,D,20130329,000000,238.1800000,238.9000000,237.0400000,238.6600000
ROSN,D,20130401,000000,238.4600000,238.4600000,235.6600000,236.5000000
ROSN,D,20130402,000000,236.3300000,237.6700000,234.8500000,236.5000000
ROSN,D,20130403,000000,235.8000000,237.1700000,232.6000000,235.1300000
ROSN,D,20130404,000000,233.8000000,240.8500000,233.1100000,236.9600000
ROSN,D,20130405,000000,237.7700000,238.3900000,230.0000000,230.8700000
ROSN,D,20130408,000000,231.0900000,232.5900000,225.6300000,225.9700000
ROSN,D,20130409,000000,226.7700000,228.7000000,223.7100000,224.8700000
ROSN,D,20130410,000000,225.6200000,226.8000000,224.0100000,225.9500000
ROSN,D,20130411,000000,226.4800000,226.9700000,219.0600000,222.0000000
ROSN,D,20130412,000000,221.6000000,223.5100000,219.7000000,223.4100000
ROSN,D,20130415,000000,222.0000000,224.9400000,219.3300000,221.8000000
ROSN,D,20130416,000000,220.7500000,222.0000000,219.5000000,219.8400000
ROSN,D,20130417,000000,220.2400000,220.8000000,213.9000000,214.8400000
ROSN,D,20130418,000000,214.3700000,217.3500000,213.0200000,213.5000000
ROSN,D,20130419,000000,214.6000000,216.3000000,211.2800000,214.9900000
ROSN,D,20130422,000000,215.9800000,218.2000000,214.5400000,217.2900000
ROSN,D,20130423,000000,216.5200000,221.0000000,214.3500000,215.3000000
ROSN,D,20130424,000000,216.0000000,220.5000000,215.1500000,219.7000000
ROSN,D,20130425,000000,220.8700000,221.8700000,216.0000000,216.8400000
ROSN,D,20130426,000000,216.4000000,217.3900000,212.3200000,214.8000000
ROSN,D,20130429,000000,214.6100000,216.0000000,213.0400000,213.9500000
ROSN,D,20130430,000000,214.2000000,216.3800000,213.1400000,214.3800000
ROSN,D,20130502,000000,210.9000000,217.0200000,210.2600000,215.0000000
ROSN,D,20130503,000000,216.3700000,220.4500000,215.0500000,219.8900000
ROSN,D,20130506,000000,220.0000000,221.6700000,219.5700000,220.5000000
ROSN,D,20130507,000000,213.9100000,219.8800000,213.0000000,218.7300000
ROSN,D,20130508,000000,219.3000000,221.6900000,217.6700000,221.6400000
ROSN,D,20130510,000000,221.6400000,225.0000000,219.6000000,222.8200000
ROSN,D,20130513,000000,222.4800000,224.2500000,218.2400000,223.0700000
ROSN,D,20130514,000000,223.3200000,226.6900000,221.6000000,223.7100000
ROSN,D,20130515,000000,224.0100000,225.9100000,218.6600000,221.4400000
ROSN,D,20130516,000000,221.9100000,221.9500000,217.7000000,218.3000000
ROSN,D,20130517,000000,218.4800000,221.9000000,217.3100000,219.5200000
ROSN,D,20130520,000000,220.1300000,222.9000000,219.0000000,219.3000000
ROSN,D,20130521,000000,219.3000000,222.5000000,218.0200000,220.5000000
ROSN,D,20130522,000000,220.9000000,225.2900000,220.2200000,224.3000000
ROSN,D,20130523,000000,221.5100000,221.9700000,213.5000000,214.3800000
ROSN,D,20130524,000000,215.2000000,216.0000000,210.3000000,212.5900000
ROSN,D,20130527,000000,212.6100000,213.8500000,210.5700000,211.3700000
ROSN,D,20130528,000000,212.1100000,214.6500000,211.8500000,213.7200000
ROSN,D,20130529,000000,213.6300000,213.7100000,208.1300000,212.4000000
ROSN,D,20130530,000000,212.2100000,217.0000000,211.4100000,215.3800000
ROSN,D,20130531,000000,215.8300000,218.1000000,178.9200000,211.5000000
ROSN,D,20130603,000000,209.8000000,212.9900000,207.5500000,210.2000000
ROSN,D,20130604,000000,210.2000000,214.3400000,209.0000000,210.6100000
ROSN,D,20130605,000000,209.9100000,211.4400000,208.0100000,208.9000000
ROSN,D,20130606,000000,208.2000000,211.4200000,207.0000000,208.5500000
ROSN,D,20130607,000000,210.0000000,215.4600000,209.5800000,215.2200000
ROSN,D,20130610,000000,215.2200000,219.4500000,214.3200000,216.7700000
ROSN,D,20130611,000000,216.4300000,217.2200000,208.0400000,208.5000000
ROSN,D,20130613,000000,207.3900000,210.1400000,204.0000000,208.8000000
ROSN,D,20130614,000000,211.1000000,213.3800000,209.3100000,210.8700000
ROSN,D,20130617,000000,211.0200000,216.5000000,211.0000000,215.6500000
ROSN,D,20130618,000000,215.5000000,219.3500000,213.7000000,218.2000000
ROSN,D,20130619,000000,218.1900000,219.8700000,215.6000000,219.3700000
ROSN,D,20130620,000000,215.7700000,226.3600000,215.7700000,220.5300000
ROSN,D,20130621,000000,220.8000000,226.5000000,219.2500000,222.7500000
ROSN,D,20130624,000000,221.1900000,229.4100000,220.6700000,227.0000000
ROSN,D,20130625,000000,227.0000000,233.0700000,226.6000000,231.2600000
ROSN,D,20130626,000000,231.3700000,235.7000000,228.1700000,228.5000000
ROSN,D,20130627,000000,229.6400000,230.8900000,222.1800000,222.8700000
